Title,Subtitle,Series,Author,"Author (Last, First)",Year Published,Genre,Number of Pages,Tags
The Moon Is a Harsh Mistress,,,Robert A. Heinlein,"Heinlein, Robert A.",1997,Fiction,382,
The Myth of Sisyphus,,,Albert Camus,"Camus, Albert",2018,Literary Collections,160,
The New Craft of the Cocktail,"Everything You Need to Know to Think Like a Master Mixologist, with 500 Recipes",,Dale DeGroff,"DeGroff, Dale",2020,Cooking,256,
The New Interpreter's Study Bible,New Revised Standard Version with the Apocrypha,,Walter J. Harrelson,"Harrelson, Walter J.",2003,Bible interpretation,2298,
The New Testament,A Historical Introduction to the Early Christian Writings,,Bart D. Ehrman,"Ehrman, Bart D.",2011,Bibles,560,
The New Weird,,,"Ann VanderMeer,Jeff VanderMeer","VanderMeer, Ann",2008,Fiction,414,
The North American Indian,The Complete Portfolios,,Edward S. Curtis,"Curtis, Edward S.",2015,Fiction,768,
The Obelisk Gate,,,N. K. Jemisin,"Jemisin, N. K.",2016,Fiction,448,
The Official Punk Rock Book of Lists,,,"Amy Wallace,Dick Manitoba","Wallace, Amy",2007,Music,313,Rock and Roll
The Outlier,The Unfinished Presidency of Jimmy Carter,,Kai Bird,"Bird, Kai",2021,Biography & Autobiography,784,
The Penguin Book of Rock & Roll Writing,,,Clinton Heylin,"Heylin, Clinton",1992,Music,682,Rock and Roll
The Physics Of Star Trek,,,Lawrence M. Krauss,"Krauss, Lawrence M.",1995,Science,208,
The Physiognomy,,,Jeffrey Ford,"Ford, Jeffrey",1997,Fiction,218,
The Pizza Bible,"The World's Favorite Pizza Styles, from Neapolitan, Deep-Dish, Wood-Fired, Sicilian, Calzones and Focaccia to New York, New Haven, Detroit, and More",,Tony Gemignani,"Gemignani, Tony",2014,Cooking,320,
The Plague,,,Albert Camus,"Camus, Albert",1991,Fiction,320,
The Planetary Omnibus,,,Warren Ellis,"Ellis, Warren",2014,Comics & Graphic Novels,864,
The Principles of Uncertainty,,,Maira Kalman,"Kalman, Maira",2007,Art,325,
The Radicalism of the American Revolution,,,Gordon S. Wood,"Wood, Gordon S.",1992,History,447,
The Rebel,An Essay on Man in Revolt,,Albert Camus,"Camus, Albert",1992,Philosophy,320,
The remains of the day,,,Kazuo Ishiguro,"Ishiguro, Kazuo",1990,Fiction,256,
The Republic for which it Stands,"The United States During Reconstruction and the Gilded Age, 1865-1896",,Richard White,"White, Richard",2017,History,941,
The Return of the King,Being the Third Part of The Lord of the Rings,,John Ronald Reuel Tolkien,"Tolkien, John Ronald Reuel",1993,Fiction,440,
The Rise of Endymion,,,Dan Simmons,"Simmons, Dan",1997,Fiction,579,
The Rock Snob's Dictionary,An Essential Lexicon of Rockological Knowledge,,"David Kamp,Steven Daly","Kamp, David",2005,Music,176,Rock and Roll
The Scar,,,China Miéville,"Miéville, China",2002,Fiction,656,
The Second Founding,How the Civil War and Reconstruction Remade the Constitution,,Eric Foner,"Foner, Eric",2019,History,288,
The Secret Lives of Color,,,Kassia St. Clair,"Clair, Kassia St.",2017,Art,320,
The Show That Never Ends,The Rise and Fall of Prog Rock,,David Weigel,"Weigel, David",2017,Music,320,
The Sopranos Family Cookbook,As Compiled by Artie Bucco,,"Artie Bucco,Allen Rucker,David Chase,Michele Scicolone","Bucco, Artie",2002,Cooking,208,
The sound and the fury,"an authoritative text, backgrounds and contexts, criticism",,William Faulkner,"Faulkner, William",1994,American Manuscripts,446,
The Sparrow,A Novel,,Mary Doria Russell,"Russell, Mary Doria",1997,Fiction,528,
The Star Trek Book,,,"Paul Ruditis,Sandford Galden-Stone","Ruditis, Paul",2016,Fiction,336,
The Star Trek Encyclopedia,A Reference Guide to the Future,,"Michael Okuda,Denise Okuda","Okuda, Michael",1999,Fiction,745,
The Star Wars Archives. 1977-1983. 40th Ed,,,Paul Duncan,"Duncan, Paul",2020,Architecture,512,
The Star Wars Archives. 1999-2005. 40th Ed,,,Paul Duncan,"Duncan, Paul",2022,Art,512,
The Stars My Destination,,,Alfred Bester,"Bester, Alfred",1996,Fiction,258,
The Stone Sky,,,N. K. Jemisin,"Jemisin, N. K.",2017,Fiction,464,
The Storm Before the Storm,The Beginning of the End of the Roman Republic,,Mike Duncan,"Duncan, Mike",2017,History,352,
The Stranger,,,Albert Camus,"Camus, Albert",1989,Fiction,144,
The Tenacity of the Cockroach,Conversations with Entertainment's Most Enduring Outsiders,,Stephen Thompson,"Thompson, Stephen",2002,Biography & Autobiography,407,Rock and Roll
The Three Stigmata of Palmer Eldritch,,,Philip K. Dick,"Dick, Philip K.",2011,Fiction,233,
The Three-Body Problem,,,Cixin Liu,"Liu, Cixin",2014,Fiction,399,
The Time Machine and the Invisible Man,,,Herbert George Wells,"Wells, Herbert George",2005,Fiction,256,
The Trial,,,Franz Kafka,"Kafka, Franz",1995,Fiction,312,
The Trouser Press Guide to '90s Rock,The All-new Fifth Edition of The Trouser Press Record Guide,,Ira A. Robbins,"Robbins, Ira A.",1997,Music,846,
The Trouser Press Record Guide,,,Ira A. Robbins,"Robbins, Ira A.",1991,Music,763,Rock and Roll
The Two Towers,Being the Second Part of The Lord of the Rings,,John Ronald Reuel Tolkien,"Tolkien, John Ronald Reuel",1993,Fiction,352,
The Underground Railroad (Pulitzer Prize Winner) (National Book Award Winner) (Oprah's Book Club),A Novel,,Colson Whitehead,"Whitehead, Colson",2016,Fiction,320,
The Unknown American Revolution,The Unruly Birth of Democracy and the Struggle to Create America,,Gary B. Nash,"Nash, Gary B.",2005,History,512,
The Vorrh,,,Brian Catling,"Catling, Brian",2015,Fiction,512,
The Warmth of Other Suns,The Epic Story of America's Great Migration,,Isabel Wilkerson,"Wilkerson, Isabel",2010,History,640,
The Windup Girl,,,Paolo Bacigalupi,"Bacigalupi, Paolo",2015,Fiction,480,
The Year of Our War,,,Steph Swainston,"Swainston, Steph",2004,Insects,290,
These Are the Plunderers,How Private Equity Runs—and Wrecks—America,,"Gretchen Morgenson,Joshua Rosner","Morgenson, Gretchen",2023,Business & Economics,400,
This Ain't No Disco,The Story of CBGB,,Roman Kozak,"Kozak, Roman",1988,Music,143,
This Census-taker,A Novella,,China Miéville,"Miéville, China",2016,Fiction,210,
This Isn't Happening,Radiohead's Kid A and the Beginning of the 21st Century,,Steven Hyden,"Hyden, Steven",2020,Biography & Autobiography,244,Rock and Roll
This Must Be the Place,The Adventures of Talking Heads in the Twentieth Century,,David Bowman,"Bowman, David",2001,Music,416,Rock and Roll
Three Moments of an Explosion,Stories,,China Miéville,"Miéville, China",2015,Fiction,382,
To Kill a Mockingbird,,,Harper Lee,"Lee, Harper",2006,Fiction,336,
Traitor to His Class,The Privileged Life and Radical Presidency of Franklin Delano Roosevelt,,H. W. Brands,"Brands, H. W.",2008,Biography & Autobiography,888,
Transmetropolitan,the new scum,,Warren Ellis,"Ellis, Warren",2009,Political corruption,149,
Transmetropolitan,Gouge Away,,Warren Ellis,"Ellis, Warren",2010,Journalists,144,
Transmetropolitan,Back on the Street. Lust for life,,Warren Ellis,"Ellis, Warren",2012,Journalists,109,
Transmetropolitan,Spiders Thrash (New Edition),,Warren Ellis,"Ellis, Warren",2004,Comics & Graphic Novels,109,
Transmetropolitan,Dirge,,Warren Ellis,"Ellis, Warren",2010,Comics & Graphic Novels,140,
Transmetropolitan,Year of the Bastard,,Warren Ellis,"Ellis, Warren",2009,Journalists,142,
Transmetropolitan Vol. 10: One More Time (New Edition),,,"Warren Ellis,Darick Robertson","Ellis, Warren",2011,Comics & Graphic Novels,240,
Transmetropolitan Vol. 9: The Cure,,,Warren Ellis,"Ellis, Warren",2011,Comics & Graphic Novels,144,
Transmetropolitan: Lonely city,Lonely City (New Edition),,Warren Ellis,"Ellis, Warren",2009,Comics & Graphic Novels,109,
Transmetropolitan: The cure,back on the street,,Warren Ellis,"Ellis, Warren",2009,Journalists,144,
Trouble Boys,The True Story of the Replacements,,Bob Mehr,"Mehr, Bob",2016,Music,520,Rock and Roll
Truman,,,David McCullough,"McCullough, David",1992,Biography & Autobiography,1117,
Twelve Caesars,Images of Power from the Ancient World to the Modern,,Mary Beard,"Beard, Mary",2021,Art,376,
Twilight of the Gods,A Journey to the End of Classic Rock,,Steven Hyden,"Hyden, Steven",2018,Music,320,Rock and Roll
V for Vendetta: New Edition,,,"Alan Moore,David Lloyd","Moore, Alan",1989,Comics & Graphic Novels,286,
Viriconium Nights,,,Michael John Harrison,"Harrison, Michael John",1985,"Fiction, fantasy, collections & anthologies",158,
Waco,"David Koresh, the Branch Davidians, and A Legacy of Rage",,Jeff Guinn,"Guinn, Jeff",2023,Biography & Autobiography,400,
Waiting for Godot,,,Samuel Beckett,"Beckett, Samuel",2011,French drama,85,
Ways of Seeing,,,John Berger,"Berger, John",1977,Art,166,
We Got the Neutron Bomb,The Untold Story of L.A. Punk,,"Marc Spitz,Brendan Mullen","Spitz, Marc",2001,Music,320,Rock and Roll
Weapons of Chess: An Omnibus of Chess Strategies,,,Bruce Pandolfini,"Pandolfini, Bruce",1989,Crafts & Hobbies,287,
What Hath God Wrought,"The Transformation of America, 1815-1848",,Daniel Walker Howe,"Howe, Daniel Walker",2007,History,904,
What is Punk?,,,Eric Morse,"Morse, Eric",2015,Juvenile Nonfiction,32,
Whiskey,A Global History,,Kevin R. Kosar,"Kosar, Kevin R.",2010,Cooking,160,
Who Killed Kurt Cobain?,The Mysterious Death of an Icon,,"Ian Halperin,Max Wallace","Halperin, Ian",1999,Biography & Autobiography,229,Rock and Roll
William Cooper's Town,Power and Persuasion on the Frontier of the Early American Republic,,Alan Taylor,"Taylor, Alan",1996,Biography & Autobiography,549,
Within the Context of No Context,,,George W. S. Trow,"Trow, George W. S.",1997,History,119,
You are Beautiful and You are Alone,The Biography of Nico,,Jennifer Otter Bickerdike,"Bickerdike, Jennifer Otter",2021,Biography & Autobiography,490,Rock and Roll
You Never Give Me Your Money,The Beatles After the Breakup,,Peter Doggett,"Doggett, Peter",2010,Music,416,Rock and Roll
